clause_id,clause_text,jurisdiction,clause_type,monthly_rent_bracket,legal_basis,risk_label,label_source,rationale,monthly_rent_bracket_raw,legal_basis_raw,flagged_for_review
DEL-SD-001,Security deposit shall be equal to 2 months' rent and refunded within 15 days of vacating the premises after deducting valid dues.,delhi,security_deposit,above_3500,market_convention,Safe,synthetic,Within typical 2-3 month market convention; refund timeline reasonable.,above_3500,market_convention,False
DEL-SD-002,"Tenant shall pay a security deposit of 3 months' rent, to be returned in full within 30 days of handing over vacant possession, subject to deductions for damages beyond normal wear and tear.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic,"Standard deposit amount, reasonable refund window, deduction scope limited to genuine damages.",above_3500,market_convention,False
DEL-SD-003,"Security deposit of 6 months' rent shall be collected and refunded within 45 days of vacating, minus outstanding utility bills.",delhi,security_deposit,above_3500,market_convention,Caution,synthetic,"6 months exceeds typical 2-3 month convention; 45-day refund window longer than ideal, though not illegal.",above_3500,market_convention,False
DEL-SD-004,Deposit amount equal to 5 months' rent shall be adjusted towards the final two months of tenancy in lieu of a cash refund.,delhi,security_deposit,above_3500,market_convention,Caution,synthetic,Adjusting deposit against final rent instead of a proper refund is tenant-disadvantageous and ambiguous on surplus handling.,above_3500,market_convention,False
DEL-SD-005,"Refund of security deposit shall be processed only after landlord's satisfaction with the condition of the property, without specifying a timeline.",delhi,security_deposit,above_3500,general_law,Caution,synthetic,No defined refund timeline creates room for indefinite withholding; subjective 'satisfaction' standard is vague.,above_3500,general_law,False
DEL-SD-006,Tenant shall pay a security deposit equal to 11 months' rent at the time of signing the agreement.,delhi,security_deposit,above_3500,market_convention,High Risk,synthetic,Extreme outlier vs 2-3 month market convention; no statutory cap applies but this deviates far beyond normal practice.,above_3500,market_convention,False
DEL-SD-007,"Security deposit shall not be refunded if the tenant vacates before completion of the lock-in period, irrespective of reason.",delhi,security_deposit,above_3500,general_law,High Risk,synthetic,"Blanket non-refund clause undermines the basic purpose of a deposit, which should be refundable minus legitimate deductions.",above_3500,general_law,False
DEL-SD-008,Landlord reserves the right to deduct any amount from the security deposit at his sole discretion without providing receipts or justification.,delhi,security_deposit,above_3500,general_law,High Risk,synthetic,Unilateral deduction without itemized justification is a recognized unfair contract term regardless of statutory cap.,above_3500,general_law,False
DEL-SD-009,"Security deposit collected shall not exceed the limits applicable under the Delhi Rent Control Act, 1958 for tenancies within its scope, and shall be refunded on vacating the premises.",delhi,security_deposit,le_3500,general_law,Safe,rule_based,"The DRCA clearly applies only within its statutory scope, but the Act text reviewed does not state a general two-month security-deposit cap. The clause is therefore not labeled as a DRCA deposit-cap rule.",le_3500,general_law,False
DEL-SD-010,"Security deposit shall be refunded within 90 days of vacating the premises, subject to landlord's inspection report.",delhi,security_deposit,le_3500,statutory,Caution,synthetic,90-day refund window is longer than typical reasonable timeframe even for Act-covered tenancies.,le_3500,statutory,False
DEL-NL-001,Either party may terminate the tenancy by providing one month's written notice to the other party.,delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,"Standard, symmetric one-month notice period for both parties.",above_3500,market_convention,False
DEL-NL-002,"The agreement shall have a lock-in period of 3 months, during which neither party may terminate without mutual consent.",delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,"Short, mutual lock-in period is common and reasonable in the Delhi rental market.",above_3500,market_convention,False
DEL-NL-003,"Tenant shall provide two months' written notice to vacate, while landlord may terminate the agreement with 15 days' notice.",delhi,notice_lockin,above_3500,market_convention,Caution,synthetic,Asymmetric notice periods disadvantage the tenant; common in practice but worth flagging as unbalanced.,above_3500,market_convention,False
DEL-NL-004,"Lock-in period of 12 months shall apply, during which tenant vacating early shall forfeit the entire security deposit.",delhi,notice_lockin,above_3500,market_convention,Caution,synthetic,Full-term lock-in with full deposit forfeiture is a harsh penalty structure relative to typical 3-6 month lock-ins.,above_3500,market_convention,False
DEL-NL-005,Landlord may terminate the tenancy at any time without notice if he deems it necessary.,delhi,notice_lockin,above_3500,general_law,High Risk,synthetic,No-notice termination at landlord's sole discretion bypasses due process requirements for eviction.,above_3500,general_law,False
DEL-NL-006,Tenant shall not be entitled to any notice period before eviction under any circumstances.,delhi,notice_lockin,above_3500,general_law,High Risk,synthetic,Blanket waiver of notice rights is not enforceable; eviction requires due legal process regardless of contract wording.,above_3500,general_law,False
DEL-NL-007,"Eviction of tenant shall be carried out only through due process before the Rent Controller, on grounds recognized under the Delhi Rent Control Act, 1958.",delhi,notice_lockin,le_3500,statutory,Safe,rule_based,Correctly reflects that eviction for Act-covered tenancies requires Rent Controller proceedings on specified grounds.,le_3500,statutory,False
DEL-NL-008,Landlord may change locks or restrict access to the premises if rent is delayed by more than 3 days.,delhi,notice_lockin,above_3500,general_law,High Risk,synthetic,Self-help eviction (changing locks without a court order) is illegal regardless of rent bracket or delay duration.,above_3500,general_law,False
